candidate_id,patch_id,row,col,probability,candidate_threshold,cell_xmin,cell_ymin,cell_xmax,cell_ymax,coarse_xmin,coarse_ymin,coarse_xmax,coarse_ymax,crs
ab_coarse_000016_r16_c16,ab_coarse_000016,16,16,0.65937150,0.300000,-1360000.000,207000.000,-1359000.000,208000.000,-1376000.000,192000.000,-1344000.000,224000.000,EPSG:3979
ab_coarse_000027_r16_c16,ab_coarse_000027,16,16,0.45003417,0.300000,-1360000.000,239000.000,-1359000.000,240000.000,-1376000.000,224000.000,-1344000.000,256000.000,EPSG:3979
ab_coarse_000037_r16_c16,ab_coarse_000037,16,16,0.79029930,0.300000,-1392000.000,271000.000,-1391000.000,272000.000,-1408000.000,256000.000,-1376000.000,288000.000,EPSG:3979
ab_coarse_000050_r16_c16,ab_coarse_000050,16,16,0.90141779,0.300000,-1360000.000,303000.000,-1359000.000,304000.000,-1376000.000,288000.000,-1344000.000,320000.000,EPSG:3979
ab_coarse_000051_r16_c16,ab_coarse_000051,16,16,0.44108653,0.300000,-1328000.000,303000.000,-1327000.000,304000.000,-1344000.000,288000.000,-1312000.000,320000.000,EPSG:3979
ab_coarse_000086_r16_c16,ab_coarse_000086,16,16,0.41630119,0.300000,-1360000.000,399000.000,-1359000.000,400000.000,-1376000.000,384000.000,-1344000.000,416000.000,EPSG:3979
ab_coarse_000114_r16_c13,ab_coarse_000114,16,13,0.31380656,0.300000,-1363000.000,463000.000,-1362000.000,464000.000,-1376000.000,448000.000,-1344000.000,480000.000,EPSG:3979
ab_coarse_000114_r16_c16,ab_coarse_000114,16,16,0.87730205,0.300000,-1360000.000,463000.000,-1359000.000,464000.000,-1376000.000,448000.000,-1344000.000,480000.000,EPSG:3979
ab_coarse_000129_r16_c16,ab_coarse_000129,16,16,0.93187952,0.300000,-1360000.000,495000.000,-1359000.000,496000.000,-1376000.000,480000.000,-1344000.000,512000.000,EPSG:3979
ab_coarse_000130_r16_c16,ab_coarse_000130,16,16,0.99747509,0.300000,-1328000.000,495000.000,-1327000.000,496000.000,-1344000.000,480000.000,-1312000.000,512000.000,EPSG:3979
ab_coarse_000144_r16_c16,ab_coarse_000144,16,16,0.80656344,0.300000,-1360000.000,527000.000,-1359000.000,528000.000,-1376000.000,512000.000,-1344000.000,544000.000,EPSG:3979
ab_coarse_000145_r16_c16,ab_coarse_000145,16,16,0.98553360,0.300000,-1328000.000,527000.000,-1327000.000,528000.000,-1344000.000,512000.000,-1312000.000,544000.000,EPSG:3979
ab_coarse_000161_r16_c16,ab_coarse_000161,16,16,0.99005181,0.300000,-1360000.000,559000.000,-1359000.000,560000.000,-1376000.000,544000.000,-1344000.000,576000.000,EPSG:3979
ab_coarse_000162_r16_c16,ab_coarse_000162,16,16,0.99750525,0.300000,-1328000.000,559000.000,-1327000.000,560000.000,-1344000.000,544000.000,-1312000.000,576000.000,EPSG:3979
ab_coarse_000175_r16_c16,ab_coarse_000175,16,16,0.65701687,0.300000,-1456000.000,591000.000,-1455000.000,592000.000,-1472000.000,576000.000,-1440000.000,608000.000,EPSG:3979
ab_coarse_000176_r16_c16,ab_coarse_000176,16,16,0.98264772,0.300000,-1424000.000,591000.000,-1423000.000,592000.000,-1440000.000,576000.000,-1408000.000,608000.000,EPSG:3979
ab_coarse_000177_r16_c16,ab_coarse_000177,16,16,0.57537186,0.300000,-1392000.000,591000.000,-1391000.000,592000.000,-1408000.000,576000.000,-1376000.000,608000.000,EPSG:3979
ab_coarse_000178_r16_c16,ab_coarse_000178,16,16,0.96876258,0.300000,-1360000.000,591000.000,-1359000.000,592000.000,-1376000.000,576000.000,-1344000.000,608000.000,EPSG:3979
ab_coarse_000179_r16_c16,ab_coarse_000179,16,16,0.99715137,0.300000,-1328000.000,591000.000,-1327000.000,592000.000,-1344000.000,576000.000,-1312000.000,608000.000,EPSG:3979
